timestamp_utc,total_value_raw,total_value_numeric
2026-09-23T20:37:22+00:00,$623.50,623.5
2026-09-23T21:03:47+00:00,$623.50,623.5
2026-09-23T21:04:56+00:00,$623.50,623.5
2026-09-23T21:05:33+00:00,$623.50,623.5
2026-09-23T21:14:27+00:00,$623.50,623.5
2026-09-24T02:43:42+00:00,$623.50,623.5
2026-09-24T03:14:01+00:00,$623.50,623.5
2026-09-24T04:14:05+00:00,$623.50,623.5
2026-09-24T05:14:03+00:00,$623.50,623.5
2026-09-24T06:14:03+00:00,$623.50,623.5
2026-09-24T07:14:05+00:00,$623.50,623.5
2026-09-24T07:35:03+00:00,$623.68,623.68
2026-09-24T07:54:37+00:00,$623.68,623.68
2026-09-24T07:58:56+00:00,$623.68,623.68
2026-09-24T16:27:23+00:00,$612.62,612.62
2026-09-24T17:14:02+00:00,$612.62,612.62
2026-09-24T18:46:02+00:00,$612.62,612.62
2026-09-24T19:14:00+00:00,$612.62,612.62
2026-09-24T20:14:06+00:00,$612.62,612.62
2026-09-24T21:14:00+00:00,$612.62,612.62
2026-09-24T22:14:06+00:00,$612.62,612.62
2026-09-24T23:14:03+00:00,$612.62,612.62
2026-09-25T01:46:02+00:00,$612.62,612.62
2026-09-25T02:14:03+00:00,$612.62,612.62
2026-09-25T07:25:35+00:00,$612.62,612.62
2026-09-25T08:14:01+00:00,$612.62,612.62
